dataset,market,ins_id,rows,file_path,fetched_at,source
prices,NO,1706,1977,prices__NO__1706.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1707,1919,prices__NO__1707.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1731,1915,prices__NO__1731.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1732,1917,prices__NO__1732.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1736,1878,prices__NO__1736.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1747,1854,prices__NO__1747.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1767,1826,prices__NO__1767.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1849,1696,prices__NO__1849.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1850,1689,prices__NO__1850.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1857,1681,prices__NO__1857.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1858,1677,prices__NO__1858.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1859,1679,prices__NO__1859.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1871,1661,prices__NO__1871.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1880,1591,prices__NO__1880.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1885,1588,prices__NO__1885.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1889,1576,prices__NO__1889.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1890,1580,prices__NO__1890.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1895,1557,prices__NO__1895.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1927,1508,prices__NO__1927.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1928,1502,prices__NO__1928.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1932,1477,prices__NO__1932.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1934,1463,prices__NO__1934.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1937,1450,prices__NO__1937.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1950,1424,prices__NO__1950.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1951,1436,prices__NO__1951.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1954,1415,prices__NO__1954.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1955,1413,prices__NO__1955.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1959,1409,prices__NO__1959.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1960,1407,prices__NO__1960.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1962,1408,prices__NO__1962.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1965,1376,prices__NO__1965.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1966,1385,prices__NO__1966.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1978,1346,prices__NO__1978.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1981,1353,prices__NO__1981.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1985,1361,prices__NO__1985.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1986,1348,prices__NO__1986.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,1987,1349,prices__NO__1987.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2002,1341,prices__NO__2002.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2003,1343,prices__NO__2003.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2004,1342,prices__NO__2004.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2011,1338,prices__NO__2011.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2012,1336,prices__NO__2012.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2015,1334,prices__NO__2015.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2032,1335,prices__NO__2032.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2038,1311,prices__NO__2038.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2039,1312,prices__NO__2039.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2041,1308,prices__NO__2041.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2043,1313,prices__NO__2043.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2044,1318,prices__NO__2044.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2053,1300,prices__NO__2053.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2054,1302,prices__NO__2054.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2060,1296,prices__NO__2060.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2064,1298,prices__NO__2064.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2066,1275,prices__NO__2066.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2070,1269,prices__NO__2070.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2071,1272,prices__NO__2071.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2072,1267,prices__NO__2072.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2084,1255,prices__NO__2084.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2085,1252,prices__NO__2085.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2086,1263,prices__NO__2086.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2088,1256,prices__NO__2088.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2090,1246,prices__NO__2090.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2091,1258,prices__NO__2091.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2092,1256,prices__NO__2092.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2093,1258,prices__NO__2093.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2094,1250,prices__NO__2094.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2095,1254,prices__NO__2095.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2096,1258,prices__NO__2096.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2115,1231,prices__NO__2115.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2116,1233,prices__NO__2116.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2126,1227,prices__NO__2126.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2139,1218,prices__NO__2139.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2160,1221,prices__NO__2160.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2162,1216,prices__NO__2162.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2163,1219,prices__NO__2163.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2164,1211,prices__NO__2164.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2167,1238,prices__NO__2167.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2170,1247,prices__NO__2170.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2171,1197,prices__NO__2171.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2172,1190,prices__NO__2172.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2179,1186,prices__NO__2179.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2180,1186,prices__NO__2180.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2191,1179,prices__NO__2191.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2203,1174,prices__NO__2203.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2216,1176,prices__NO__2216.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2217,1176,prices__NO__2217.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2224,1171,prices__NO__2224.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2236,1164,prices__NO__2236.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2243,1158,prices__NO__2243.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2264,1136,prices__NO__2264.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2266,1143,prices__NO__2266.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2267,1137,prices__NO__2267.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2270,1110,prices__NO__2270.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2271,1100,prices__NO__2271.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2272,1101,prices__NO__2272.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2285,1087,prices__NO__2285.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2344,1059,prices__NO__2344.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2349,1048,prices__NO__2349.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2353,1045,prices__NO__2353.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2355,1043,prices__NO__2355.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2367,1004,prices__NO__2367.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2374,990,prices__NO__2374.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2384,975,prices__NO__2384.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2406,922,prices__NO__2406.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2407,911,prices__NO__2407.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2421,2506,prices__NO__2421.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2422,2506,prices__NO__2422.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2423,2505,prices__NO__2423.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2424,2504,prices__NO__2424.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2427,2504,prices__NO__2427.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2428,2505,prices__NO__2428.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2429,2504,prices__NO__2429.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2430,2505,prices__NO__2430.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2431,2505,prices__NO__2431.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2432,2505,prices__NO__2432.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2433,2505,prices__NO__2433.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2434,2506,prices__NO__2434.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2435,2505,prices__NO__2435.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2436,2506,prices__NO__2436.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2437,2505,prices__NO__2437.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2438,2178,prices__NO__2438.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2439,2101,prices__NO__2439.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2442,844,prices__NO__2442.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2480,856,prices__NO__2480.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2493,795,prices__NO__2493.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2494,796,prices__NO__2494.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2508,694,prices__NO__2508.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2509,702,prices__NO__2509.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2511,667,prices__NO__2511.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2515,596,prices__NO__2515.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2518,566,prices__NO__2518.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2527,451,prices__NO__2527.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2530,437,prices__NO__2530.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2531,428,prices__NO__2531.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2535,423,prices__NO__2535.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2538,419,prices__NO__2538.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2540,409,prices__NO__2540.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2543,406,prices__NO__2543.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2549,358,prices__NO__2549.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2562,289,prices__NO__2562.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2563,287,prices__NO__2563.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2565,302,prices__NO__2565.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2566,322,prices__NO__2566.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2578,235,prices__NO__2578.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2583,172,prices__NO__2583.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2584,190,prices__NO__2584.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2587,158,prices__NO__2587.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2594,96,prices__NO__2594.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2597,95,prices__NO__2597.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2600,124,prices__NO__2600.parquet,2026-02-20T08:37:23.636157+00:00,api
prices,NO,2605,68,prices__NO__2605.parquet,2026-02-20T08:37:23.636157+00:00,api
